Chord,Note1,Note2,Note3
C_maj_2_0,C_2,E_2,G_2
C_maj_3_0,C_3,E_3,G_3
C_maj_4_0,C_4,E_4,G_4
C_maj_5_0,C_5,E_5,G_5
C_maj_6_0,C_6,E_6,G_6
C_maj_7_0,C_7,E_7,G_7
Cs_maj_2_0,Cs_2,F_2,Gs_2
Cs_maj_3_0,Cs_3,F_3,Gs_3
Cs_maj_4_0,Cs_4,F_4,Gs_4
Cs_maj_5_0,Cs_5,F_5,Gs_5
Cs_maj_6_0,Cs_6,F_6,Gs_6
Cs_maj_7_0,Cs_7,F_7,Gs_7
D_maj_2_0,D_2,Fs_2,A_2
D_maj_3_0,D_3,Fs_3,A_3
D_maj_4_0,D_4,Fs_4,A_4
D_maj_5_0,D_5,Fs_5,A_5
D_maj_6_0,D_6,Fs_6,A_6
D_maj_7_0,D_7,Fs_7,A_7
Eb_maj_2_0,Eb_2,G_2,Bb_2
Eb_maj_3_0,Eb_3,G_3,Bb_3
Eb_maj_4_0,Eb_4,G_4,Bb_4
Eb_maj_5_0,Eb_5,G_5,Bb_5
Eb_maj_6_0,Eb_6,G_6,Bb_6
Eb_maj_7_0,Eb_7,G_7,Bb_7
E_maj_2_0,E_2,Gs_2,B_2
E_maj_3_0,E_3,Gs_3,B_3
E_maj_4_0,E_4,Gs_4,B_4
E_maj_5_0,E_5,Gs_5,B_5
E_maj_6_0,E_6,Gs_6,B_6
E_maj_7_0,E_7,Gs_7,B_7
F_maj_2_0,F_2,A_2,C_3
F_maj_3_0,F_3,A_3,C_4
F_maj_4_0,F_4,A_4,C_5
F_maj_5_0,F_5,A_5,C_6
F_maj_6_0,F_6,A_6,C_7
F_maj_7_0,F_7,A_7,C_8
Fs_maj_2_0,Fs_2,Bb_2,Cs_3
Fs_maj_3_0,Fs_3,Bb_3,Cs_4
Fs_maj_4_0,Fs_4,Bb_4,Cs_5
Fs_maj_5_0,Fs_5,Bb_5,Cs_6
Fs_maj_6_0,Fs_6,Bb_6,Cs_7
Fs_maj_7_0,Fs_7,Bb_7,Cs_8
G_maj_2_0,G_2,B_2,D_3
G_maj_3_0,G_3,B_3,D_4
